=== EXTRAITS ALÉATOIRES BDPM (100 lignes/fichier) ===
Généré le : 2025-11-24 10:02:57.275181


==================================================
FICHIER : CIS_COMPO_bdpm.txt
Lignes totales : 32563 | Extraites : 200
==================================================

64944927	crème	02160	ACIDE FUSIDIQUE	2 g	100 g de crème	SA	1
63283572	gélule	00915	CHLORHYDRATE DE DILTIAZEM	120 mg	une gélule	SA	1
62229155	solution	03778	CHLORHEXIDINE (DIGLUCONATE DE)	0,5 g	100 g	SA	1
64476446	comprimé	39727	AMLODIPINE	5 mg	un comprimé	FT	2
68415622	pommade	24475	PLUMBUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 7DH à 60DH	une capsule	SA	18
69828759	solution	02709	LACTULOSE	670 mg	1 ml	FT	1
61992596	comprimé	86029	URICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 8DH à 60DH	un comprimé	SA	18
62140055	comprimé	02064	HYDROCHLOROTHIAZIDE	12,50 mg	un comprimé	SA	2
63397330	comprimé	72723	CALCIUM ÉLÉMENT	500 mg	un comprimé	FT	1
67402230	comprimé	08237	GESTODÈNE	0,075 mg	un comprimé	SA	1
60386574	pommade	24025	AGNUS CASTUS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH (pommade à 4 %)	un comprimé	SA	24
64349694	solution buvable en ampoules	71062	MUQUEUSE SINUSALE POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 8DH à 60DH	une gélule	SA	25
64805678	poudre	96771	AVALGLUCOSIDASE ALFA 	100 mg	un flacon	SA	1
66011780	gel	22114	CHLORURE DE CÉTALKONIUM	0,01 g	100 g	SA	8
69809260	granules	58995	YUCCA FILAMENTOSA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	19
69414377	solution	05558	TÉTRADÉCYL SULFATE DE SODIUM	3 g	100 mL de solution	SA	2
61875707	solution	02754	OFLOXACINE	200 mg	40 ml de solution pour perfusion	SA	1
60695268	solution buvable en ampoules	41007	LAMINARIA DIGITATA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	26
66024831	comprimé	15734	VALSARTAN	160 mg	un comprimé	SA	2
63121734	comprimé	75247	NATRUM CARBONICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	100 ml de solution	SA	17
69673102	comprimé	37430	RISPÉRIDONE	2 mg	un comprimé	SA	1
63119562	solution	05558	TÉTRADÉCYL SULFATE DE SODIUM	1 g	100 ml de solution	SA	1
61752640	granules	00763	CUPRUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	1 ml	SA	19
61825622	comprimé	37752	AGRAPHIS NUTANS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	17
61817344	poudre	93286	ACIDE CLAVULANIQUE	12,50 mg	1 ml de suspension reconstituée	FT	2
66182379	solution	05140	GLUCONATE DE QUININE	770,25 mg	une ampoule de 4 ml	SA	1
68575185	Compartiment Glucose. Site bleu perfusion	00529	GLUCOSE ANHYDRE	150 g	500 ml	FT	21
60802115	pommade	04684	BARYTA MURIATICA POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 8DH à 60DH (pommade à 4 %)	100 g de crème	SA	24
65849001	comprimé	16541	COMPLEXE SODIQUE SACUBITRIL VALSARTAN HÉMIPENTAHYDRATÉ			SA	1
68130153	comprimé	32050	SUCCINATE DE SOLIFÉNACINE	5 mg	un comprimé	SA	1
67585924	solution buvable en gouttes	47104	ORPIMENT POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 8DH à 60DH	100 g	SA	19
62218333	solution buvable en gouttes	16152	PANCREINE POUR PRÉPARATIONS HOMÉOPATHIQUES	8 DH	1 mL de solution	SA	22
67672560	poudre	02361	MÉTHYLPREDNISOLONE	40,00 mg	un flacon de lyophilisat	FT	1
60418716	comprimé 20 mg	41238	APRÉMILAST	20 mg	un comprimé	SA	11
67037066	comprimé	51254	OXYBUTYNINE BASE	4,54 mg	un comprimé	FT	2
68333755	comprimé	02283	BROMURE DE PYRIDOSTIGMINE	180 mg	un comprimé	SA	1
61117445	compartiment 1	00031	L-ALANINE	11,39 g	un compartiment n°1 de 1000 ml	SA	1
65976536	solution	98145	TRÉPROSTINIL	10 mg	1 mL de solution	FT	1
68269313	gélule	01473	ZINC	50 mg	une gélule	FT	1
62098040	solution buvable en ampoules	15313	DIPHTEROTOXINUM POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 8DH à 60DH	une dose mesurée	SA	25
62044231	comprimé	00987	CYPROTÉRONE (ACÉTATE DE)	2 mg	un comprimé	SA	7
68500250	solution buvable en ampoules	06436	CALCAREA CARBONICA OSTREARUM POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 8DH à 60DH	un comprimé	SA	23
68243770	comprimé	93748	BÉSILATE D'AMLODIPINE	13,88 mg	un comprimé	SA	2
69407984	comprimé	00860	GRAPHITE POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	une gélule	SA	17
60298850	solution buvable en ampoules	25509	FORMICA RUFA POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 8DH à 60DH	un suppositoire	SA	23
69368887	poudre orale	29499	MOMORDICA BALSAMINA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 7DH à 60DH	une gélule	SA	23
63727269	pommade	46228	AMPELOPSIS QUINQUEFOLIA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH (pommade à 4 %)	un comprimé	SA	24
68134034	comprimé	03885	LÉVODOPA	150 mg	un comprimé	SA	1
63697057	comprimé	71041	DASATINIB	140 mg	un comprimé	SA	1
